Simple H Replacements	Description 1	Aryl substituent Scan	Description 3	Aryl group addition	Description 4	Switches	Description 5	Acid isosteres	Empty	Virtual Ring	Description 7	Metabolism	Description 8	Ester/amide isosteres	Description 9	Phenol isosteres	Description 10	More aryl rings	Description 2	Diamine ring morphing	Reference 1	Reference 2	Reference 3	Reference 4
[C:1]>>[C:1]N(C)(C)	add amino	[c;H1:1]>>[c:1]NC(=O)N(C)	add urea					[*:1][C:2]([OH])=O>>[*:1][P:2](=O)(OC)O				"[cH1$(c1[c,n][c,n][c,n]([c,n]2[c,n]1[c,n][c,n][c,n][c,n]2)*):1]>>[c:1]F"	Biaryl - protect 4 position	"[NX3H1H0,OH0]([CX3](=[OX1])[#6:1])[CX4,c:2]>>[#6:1]Nc=1n=c(on=1)[#6:2]"	"isomeric reversed amino-1,3,4- oxazole"			[n;r5;R1;H1:1][c:2][n:3]>>[n:1][c:2]c[n:3]	ncn --> nccn	C1CN(CCN1[*:1])[*:2]>>c:1(:c:c(:c:c:c:1)N[*:1])N[*:2]	68621-88-5			
[N:1]>>[N:1]C(=O)C	amine to N-Ac	[c;H1:1]>>[c:1]N(C)C(=O)N(C)	add urea					[*:1][C:2]([OH])=O>>[*:1][S:2](=O)(O)O				"[cH1$(c1[c,n][c,n][c,n]([c,n]2[c,n]1[c,n][c,n][c,n][c,n]2)*):1]>>[c:1]Cl"	Biaryl - protect 4 position					[n;r5;R1;H1:1][c:2][c:3][n:4]>>[n:1][c:2]c[c:3][n:4]	nccn --> ncccn	C1CN(CCN1[*:1])[*:2]>>c:1(:c(:c:c:c:c:1)N[*:1])N[*:2]	146651-75-4			
[N:1]>>[N:1]C	amine to N-Me	[c;H1:1]>>[c:1]NC(=O)N(C)(C)	add urea					[*:1][C:2]([OH])=O>>[*:1][C:2](=O)NS(=O)(=O)C				"[cH1$(c1[c,n][c,n][c,n]([c,n]2[c,n]1[c,n][c,n][c,n][c,n]2)*):1]>>[c:1]Br"	Biaryl - protect 4 position					[s:1]>>[o:1]	s --> o	C1CN(CCN1[*:1])>>O1CCN(CC1)[*:1]	110-91-8			
[N:1]>>[N:1](C)C	amine to N-Me2	[c;H1:1]>>[c:1]N(C)C(=O)N(C)(C)	add urea					[*:1][C:2]([OH])=O>>[*:1][S:2](=O)(NS(=O)(=O)C)=O				"[cH1$(c1[c,n][c,n][c,n]([c,n]2[c,n]1[c,n][c,n][c,n][c,n]2)*):1]>>[c:1]C"	Biaryl - protect 4 position					[a;R1:6]1[a;R1:5][a;H1;R1:4][a;H1;R1:3][a;R1:2][a;R1:1]1>>[a;R1:6]1[a;R1:1][a;R1:2][c:3]2[c:4]([a;R1:5]1)cccc2	phenyl --> naphthyl	C1CN(CCN1[*:1])>>S1CCN(CC1)[*:1]	123-90-0			
[N:1]>>[N:1]C(=O)OC	amine to carbamate							[*:1][C:2]([OH])=O>>[*:1][C:2](NO)=O										[a;R1:6]1[a;R1:5][a;H1;R1:4][a;H1;R1:3][a;R1:2][a;R1:1]1>>[a;R1:6]1[a;R1:1][a;R1:2][c:3]2[c:4]([a;R1:5]1)nccc2	phenyl --> quinolinyl	C1CN(CCN1[*:1])>>O1CCCN(CC1)[*:1]	178312-62-4			
[N:1]>>[N:1]C(=O)N	amine to urea							[*:1][C:2]([OH])=O>>[*:1][C:2](NOC)=O				[cH1:1][cH0:2]([cH1:4])[OH:3]>>[c:1](C)[cH0:2]([c:4](C))[OH:3]	Block ortho to a phenol					[a;R1:6]1[a;R1:5][a;H1;R1:4][a;H1;R1:3][a;R1:2][a;R1:1]1>>[a;R1:6]1[a;R1:1][a;R1:2][c:3]2[c:4]([a;R1:5]1)ccnc2	phenyl -- isoquinolinyl	C1CN(CCN1[*:1])[*:2]>>C1(CCN(CC1)[*:1])O[*:2]	109384-19-2			
[N:1]>>[N:1]C(=O)NC	amine to urea							[*:1][C:2]([OH])=O>>[*:1][C:2](=O)C(C(=O)OC)S(=O)(=O)C				[cH1:1][cH0:2][OH:3]>>[c:1](C)[cH0:2][OH:3]	Block ortho to a phenol					[a;R1:6]1[a;R1:5][a;H1;R1:4][a;H1;R1:3][a;R1:2][a;R1:1]1>>[a;R1:6]1[a;R1:1][a;R1:2][c:3]2[c:4]([a;R1:5]1)ncnc2	phenyl --> quinazoline	C1CN(CCN1[*:1])[*:2]>>C1C(CN(CC1)[*:1])O[*:2]	143900-43-0	143900-44-1		
[N:1]>>[N:1]C(=O)N(C)C	amine to urea							[*:1][C:2]([OH])=O>>[*:1][C:2](=O)C(C#N)S(=O)(=O)C				[cH1:1][cH0:2]([cH1:4])[OH:3]>>[c:1](F)[cH0:2]([c:4](F))[OH:3]	Block ortho to a phenol					[a;R1:6]1[a;R1:5][a;H1;R1:4][a;H1;R1:3][a;R1:2][a;R1:1]1>>[a;R1:6]1[a;R1:1][a;R1:2][c:3]2[c:4]([a;R1:5]1)nccn2	phenyl --> quinoxaline	C1CN(CCN1[*:1])[*:2]>>C1(CN(C1)[*:1])O[*:2]	141699-55-0			
[N:1]>>[N:1](C)C(=O)C	amine to N-Ac							[*:1][C:2]([OH])=O>>[*:1][C:2](=NS(C(F)(F)F)(=O)=O)NS(=O)(=O)C(F)(F)F				[cH1:1][cH0:2][OH:3]>>[c:1](F)[cH0:2][OH:3]	Block ortho to a phenol					[a;R1:6]1[a;R1:5][a;H1;R1:4][a;H1;R1:3][a;R1:2][a;R1:1]1>>[a;R1:6]1[a;R1:1][a;R1:2][c:3]2[c:4]([a;R1:5]1)ncn2	phenyl --> benzimidazole	C1CN(CCN1[*:1])[*:2]>>C1(CN(C1)[*:1])(O)C2CCCCN2[*:2]	934664-27-4	934666-06-5		
[N:1]>>[N:1](C)C(=O)OC	amine to carbamate							[*:1][C:2]([OH])=O>>[*:1][c:2]1cc(c(c(c1)F)O)F				[cH1:1][cH0:2]([cH1:4])[OH:3]>>[c:1](Cl)[cH0:2]([c:4](Cl))[OH:3]	Block ortho to a phenol					[a;R1:6]1[a;R1:5][a;H1;R1:4][a;H1;R1:3][a;R1:2][a;R1:1]1>>[a;R1:6]1[a;R1:1][a;R1:2][c:3]2[c:4]([a;R1:5]1)ncc2	phenyl --> indole	C1CN(CCN1[*:1])[*:2]>>C1(CN(C1)[*:1])(O)C2CCCN(C2)[*:2]	virtual			
[N:1]>>[N:1](C)C(=O)N	amine to urea							[*:1][C:2]([OH])=O>>[*:1][S:2](=O)(=O)N				[cH1:1][cH0:2][OH:3]>>[c:1](Cl)[cH0:2][OH:3]	Block ortho to a phenol					[a;R1:6]1[a;R1:5][a;H1;R1:4][a;H1;R1:3][a;R1:2][a;R1:1]1>>[a;R1:6]1[a;R1:1][a;R1:2][c:3]2[c:4]([a;R1:5]1)nncc2	phenyl --> cinnoline	C1CN(CCN1[*:1])[*:2]>>C1(N(CCN([*:1])C1)[*:2])=O	76003-29-7			
[N:1]>>[N:1](C)C(=O)NC	amine to urea							[*:1][C:2]([OH])=O>>[*:1][N:2]C(NS(C)(=O)=O)=O				[cH0:1][OH:2]>>[cH0:1][C:2]O	Phenol -> hydroxymethyl					[a;R1:6]1[a;R1:5][a;H1;R1:4][a;H1;R1:3][a;R1:2][a;R1:1]1>>[a;R1:6]1[a;R1:1][a;R1:2][c:3]2[c:4]([a;R1:5]1)cnnc2	phenyl --> phthalazine	C1CN(CCN1[*:1])[*:2]>>N(C(CN[*:1])(C)C)[*:2]	95034-05-2			
[N:1]>>[N:1](C)C(=O)N(C)C	amine to urea							[*:1][C:2]([OH])=O>>[*:1][C:2]=1NC(C=C(C=1)O)=O				[O;H1:3][c:1][c:2][O;H1:4]>>[O:3]1[c:1][c:2][O:4]C1	Catechol -> methylenedioxy					[a;H1;R1:5]1[a;H1;R1:4][a;R1:3][a;R1:2][n;R1:1]1>>[c:5]21[n;R1:1][a;R1:2][a;R1:3][c:4]1cccc2	pyrrole --> indole	C1CN(CCN1[*:1])[*:2]>>N(C1(CN[*:1])CC1)[*:2]	934481-48-8			
[N:1]>>[O:1]	nitrogen to oxygen							[*:1][C:2]([OH])=O>>[*:1][C:2]=1C(=CC(NC=1)=O)O										[a;RH1;1:5]1[a;H1;R1:4][a;R1:3][a;R1:2][n;R1:1]1>>[a;R1:5]1[n;R1:1][a;R1:2][c:3]2[c:4]1cccc2	pyrrole --> isoindole	C1CN(CCN1[*:1])[*:2]>>N(CCO[*:1])[*:2]	26690-80-2			
								[*:1][C:2]([OH])=O>>[*:1][C:2]=1C=C(C(NC=1)=O)O				[C$(Ca);H2:1]>>[C$(Ca);H1:1]O	Benzylic oxidation							C1CN(CCN1[*:1])>>N(CCO)[*:1]	26690-80-2			
								[*:1][C:2]([OH])=O>>[*:1][C:2]=1NC(C(=CC=1)O)=O				[C$(Ca);H2:1]>>[C$(Ca);H1:1]C	Benzylic substitution							C1CN(CCN1[*:1])[*:2]>>C1C2C(CC1)(CN(C2)[*:1])CN[*:2]	ChemSpider ID: 9416534 	ChemSpider ID: 23014425 		
												[C$(Ca);H2:1]>>[C$(Ca);H0:1](C)(C)	Benzylic substitution							C1CN(CCN1[*:1])[*:2]>>C=21C(CN(C1)[*:1])=NN(C=2)[*:2]	1280210-79-8			
												[#6:1]C=C[#6:2]>>[#6:1]C1C([#6:2])C1	alkene --> cyclopropyl							C1CN(CCN1[*:1])[*:2]>>C=21C(CN(C1)[*:1])=CN(C=2)[*:2]	156422-77-4			
												[#6:1]C=C[#6:2]>>[#6:1]OC[#6:2]	alkene --> ether							C1CN(CCN1[*:1])[*:2]>>N21C(CN(CC1)[*:1])=NN=C2[*:2]	837430-14-5			
												[#6:1]C#C[#6:2]>>[#6:1]OC[#6:2]	acetylene --> ether							C1CN(CCN1[*:1])[*:2]>>N21C(CN(CC1)[*:1])=CN=C2[*:2]	297172-19-1			
												[#6:1]C#C[#6:2]>>[#6:1]CC[#6:2]	alkene --> alkane							C1CN(CCN1[*:1])[*:2]>>C1N2C(CN(C1)[*:1])=NC=C2[*:2]	735266-95-2			
												[C;H3:1]>>[C:1]O	methyl -> hydroxymethyl							C1CN(CCN1[*:1])>>C1CCN(CC1)[*:1]	110-89-4			
																				C1CN(CCN1[*:1])[*:2]>>C21CC=CCC(N1[*:1])CN(C2)[*:2]	DOI: 10.1016/j.tetlet.2007.07.080			
																				C1CN(CCN1[*:1])[*:2]>>C21CN(C(CN1[*:1])CC=CC2)[*:2]	DOI: 10.1016/j.tetlet.2007.07.080			
																				C1CN(CCN1[*:1])>>C1C=2N(CCN1[*:1])C=CC=2	71257-38-0			
																				C1CN(CCN1[*:1])[*:2]>>C21(CC(C1)(C2)N[*:1])N[*:2]	148561-75-5			
																				C1CN(CCN1[*:1])[*:2]>>N(C1C(COC1)N[*:1])[*:2]	335276-55-6			
																				C1CN(CCN1[*:1])[*:2]>>C1(CC(C1)(N[*:1])/[H])(N[*:2])/[H]	871014-19-6			
																				C1CN(CCN1[*:1])[*:2]>>C1C(CCN(CCC1)[*:1])N[*:2]	196613-57-7			
																				C1CN(CCN1[*:1])[*:2]>>C1N([*:1])CCC2C1CCCN2[*:2]	616875-90-2			
																				C1CN(CCN1[*:1])[*:2]>>C1N([*:1])CCC2(C1)N(CCC2)[*:2]	937729-06-1			
																				C1CN(CCN1[*:1])[*:2]>>C1N([*:1])CCC2C1N(CCC2)[*:2]	DOI: 10.1039/J39670000377			
																				C1CN(CCN1[*:1])[*:2]>>C1(N[*:1])(CCCC1)CN[*:2]	1311318-21-4			
																				C1CN(CCN1[*:1])[*:2]>>C1N([*:1])CC(CCC1)N[*:2]	200440-13-7			
																				C1CN(CCN1[*:1])[*:2]>>C1(N[*:1])CC2(C1)CN(C2)[*:2]	121152-65-6			
																				C1CN(CCN1[*:1])[*:2]>>N1(CCC2(CC1)CC(C2)CN[*:1])[*:2]	ChemSpider ID: 24784612 			
																				C1CN(CCN1[*:1])[*:2]>>C1C(C2(C1)CCN(CC2)[*:1])N[*:2]	ChemSpider ID: 24784631 			
																				C1CN(CCN1[*:1])>>C1N2C(CN(C1)[*:1])=NN=C2	837430-14-5			
																				C1CN(CCN1[*:1])>>C1N2C(CN(C1)[*:1])=NC=C2	735266-95-2			
																				C1CN(CCN1[*:1])>>C1N2C(CN(C1)[*:1])=CN=C2	837430-14-5			
																				N1(CCN(CC1)[*:1])[*:2]>>C1CCC(CC1)(N[*:1])CCN[*:2]	1352999-04-2	864943-63-5		
																				N1(CCN(CC1)[*:1])[*:2]>>N1(CC(OCC1)CN[*:1])[*:2]	110859-47-7	140645-53-0		
																				N1(CCN(CC1)[*:1])[*:2]>>N([*:1])CC1(CCCCCC1)N[*:2]	904817-67-0			
																				N1(CCN(CC1)[*:1])[*:2]>>C1C2C(CC(C1)N[*:1])CN(C2)[*:2]	1093230-98-8			
																				N1(CCN(CC1)[*:1])[*:2]>>C1C2C(CCC1)(CN(C2)[*:1])CN[*:2]	EN300-87094			
																				N1(CCN(CC1)[*:1])[*:2]>>C1N2C(CN(C1)[*:1])CC(C2)N[*:2]	EN300-88101	EN300-88102		
																				N1(CCN(CC1)[*:1])[*:2]>>C1C2=C(CC1N[*:1])CC(C2)N[*:2]	EN300-88108			
																				N1(CCN(CC1)[*:1])[*:2]>>C1C2(C(CN1[*:2])C2)N[*:1]	489438-95-1			
																				N1(CCN(CC1)[*:1])[*:2]>>N1(CC2C(C1)C2CN[*:1])[*:2]	134575-12-5			
																				N1(CCN(CC1)[*:1])[*:2]>>N1(CC2C(CC1)(C2)N[*:1])[*:2]	EN300-87450			
																				N1(CCN(CC1)[*:1])[*:2]>>N1(C2C(CCC1)N(CCC2)[*:1])[*:2]	1000931-58-7			
																				N1(CCN(CC1)[*:1])[*:2]>>N1(C2C(CCC1)CN([*:1])C2)[*:2]	132414-81-4			
																				N1(CCN(CC1)[*:1])[*:2]>>C1C2C(N(C1C)[*:1])CN(C2)[*:2]	370882-39-6			
																				N1(CCN(CC1)[*:1])[*:2]>>C21CN(CC(CCC1)N(C2)[*:1])[*:2]	EN300-40961			
																				N1(CCN(CC1)[*:1])[*:2]>>N(C1C2CC(CC1CCC2)N[*:1])[*:2]	EN300-87468			
																				N1(CCN(CC1)[*:1])[*:2]>>N1(C2CC(CC1CCC2)N[*:1])[*:2]	76272-99-6			
																				N1(CCN(CC1)[*:1])[*:2]>>C1CC2(CC(C1)(N[*:1])C2)N[*:2]	EN300-61211			
																				N1(CCN(CC1)[*:1])[*:2]>>C21(CC(C1)(CC2)N[*:1])N[*:2]	EN300-88111			
																				N1(CCN(CC1)[*:1])[*:2]>>C21CC(C(N(C1)[*:1])C2)N[*:2]	1005077-74-6			
																				N1(CCN(CC1)[*:1])[*:2]>>C1(CC2(N(CC1)[*:1])CCC2)N[*:2]	EN300-26948			
																				N1(CCN(CC1)[*:1])[*:2]>>C1(CC2(N(CC1)[*:1])CCCCC2)N[*:2]	EN300-27604			
																				N1(CCN(CC1)[*:1])[*:2]>>C1C(N(CC1)[*:1])C2CN(CCC2)[*:2]	EN300-29501			
																				N1(CCN(CC1)[*:1])[*:2]>>C1C(N(CC1)[*:1])C2CCN(CC2)[*:2]	929974-12-9			
																				N1(CCN(CC1)[*:1])[*:2]>>C1(CN(CC1)[*:1])C2CCN(CC2)[*:2]	929974-10-7			
																				N1(CCN(CC1)[*:1])[*:2]>>C1(CN(CC1)[*:1])C2CCCCN2[*:2]	EN300-87267			
																				N1(CCN(CC1)[*:1])[*:2]>>C1C(N(CC1)[*:1])C2CCCCN2[*:2]	929974-16-3			
																				N1(CCN(CC1)[*:1])[*:2]>>C1CN(CCO1)CCN[*:1]	2038-03-1			
																				N1(CCN(CC1)[*:1])[*:2]>>C1OCCN(C1)CCCN[*:1]	123-00-2			
																				N1(CCN(CC1)[*:1])[*:2]>>C1CN(CC1)CCCN[*:1]	23159-07-1			
																				N1(CCN(CC1)[*:1])[*:2]>>C1(N[*:1])CCC(CC1)N2CCOCC2	79099-07-3			
																				N1(CCN(CC1)[*:1])[*:2]>>C1(N[*:1])CCC(CC1)N2CCCC2	734527-26-5			
																				N1(CCN(CC1)[*:1])[*:2]>>C1(N[*:1])CCC(CC1)O	5382-16-1			
																				N1(CCN(CC1)[*:1])[*:2]>>C1(C[*:1])CCN(CC1)C	52694-51-6			
																				N1(CCN(CC1)[*:1])[*:2]>>C1=NC(=CN1[*:1])[*:2]	822-36-6			
																				N1(CCN(CC1)[*:1])[*:2]>>C1=NC(=CN1[*:2])[*:1]	822-36-6			
																				N1(CCN(CC1)[*:1])[*:2]>>C=1N(N=C(N=1)[*:1])[*:2]	7170-01-6			
																				N1(CCN(CC1)[*:1])[*:2]>>C=1N(N=C(N=1)[*:2])[*:1]	7170-01-6			
																				N1(CCN(CC1)[*:1])[*:2]>> N1(CCN(CC1)CC)[*:1]	5308-25-8			
																				N1(CCN(CC1)[*:1])[*:2]>> N1(CCN(CC1)C(C)C)[*:1]	4318-42-7			
																				N1(CCN(CC1)[*:1])[*:2]>>N1(CCN(CC1)Cc2ccccc2)[*:1]	2759-28-6			
																				N1(CCN(CC1)[*:1])[*:2]>> N1(CCN(CC1)c2ccccc2)[*:1]	92-54-6			
																				N1(CCN(CC1)[*:1])[*:2]>>N1(CCN(CC1)CC#C)[*:1]	52070-67-4			
																				N1(CCN(CC1)[*:1])[*:2]>>N1(CCN(CC1)CCC)[*:1]	64262-23-3			
																				N1(CCN(CC1)[*:1])[*:2]>>N1(CCN(CC1)CCO)[*:1]	103-76-4			
